Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2021,20.6,30.2,24.3,71,0.2,4.8,5,180,2,SE
02-08-2021,20.6,29.8,24.1,72,0.2,6,3,140,1,C 
03-08-2021,19.6,29.2,23,77,1.5,7.7,5,130,2,SE
04-08-2021,19.8,28,22.9,79,0.2,6.2,3,90,1,C 
05-08-2021,19.7,27.1,22.8,80,0.2,5.4,3,90,1,C 
06-08-2021,17.8,29.6,22.9,71,0.2,1.2,3,110,1,C 
07-08-2021,18,28.8,22.6,80,0.2,7.8,3,160,1,C 
08-08-2021,19.8,29.6,23.4,80,1,5.5,5,250,1,SW
09-08-2021,19.8,30,23.8,80,41.4,6,3,100,2,E 
10-08-2021,20,30.4,24.6,78,4.8,6.2,5,90,2,E 
11-08-2021,19.8,30,24.1,65,0.2,6.3,6,110,2,E 
12-08-2021,17.8,29.4,22.2,69,0.2,9.4,3,140,2,SE
13-08-2021,17.8,27.2,22.8,80,0.2,8,3,30,1,E 
14-08-2021,19.4,30.6,23.9,74,0.2,1.7,4,110,2,E 
15-08-2021,19.4,31,24.2,69,0.2,8.1,5,100,3,E 
16-08-2021,19.4,30.7,23.7,73,0.2,9.4,5,100,2,E 
17-08-2021,18.8,31,24.4,67,0.2,8.5,4,260,1,C 
18-08-2021,19,30,23.3,72,0.2,8.1,4,280,1,SE
19-08-2021,19.4,28,22.7,82,1.9,6.6,3,110,1,C 
20-08-2021,18.8,28,22.8,76,40.4,4.4,3,200,2,E 
21-08-2021,20.2,28,23.1,79,0.8,5.2,3,160,2,E 
22-08-2021,19.4,29.4,23.6,75,0.2,2.3,4,140,2,C 
23-08-2021,18.8,30.6,23.7,72,0.2,6.3,3,70,2,E 
24-08-2021,19.2,30,23.9,67,0.2,7,3,120,2,E 
25-08-2021,17.6,30.6,23.7,60,0.2,7.1,4,50,2,E 
26-08-2021,18.4,30.6,23.2,66,0.2,7.8,2,120,1,C 
27-08-2021,18.2,30.4,23.2,70,0.2,7.8,4,290,1,C 
28-08-2021,18,29,23,69,0.2,8.6,4,120,2,E 
29-08-2021,19,29,22.9,76,0.2,6.6,2,120,1,E 
30-08-2021,19.7,30.8,24.5,70,0.2,3.1,4,110,2,E 
31-08-2021,20.6,30.8,24.7,71,0.2,5.7,4,10,2,E 
01-09-2021,19.8,31.4,24.5,71,0.2,7.5,3,90,2,C 
02-09-2021,19.8,30.6,24.1,69,0.2,7.1,4,70,2,E 
03-09-2021,20,31.4,24.4,63,0.2,8.5,4,110,2,E 
04-09-2021,18.4,29.8,23.5,66,0.2,7.5,3,90,2,E 
05-09-2021,20.6,29.6,24.1,73,0.2,6.3,4,110,2,E 
06-09-2021,20.6,30.6,24.2,73,0.2,6,3,80,1,C 
07-09-2021,21.8,29.6,23.9,81,0.2,4,3,110,1,E 
08-09-2021,19.4,31.8,23.9,72,2.2,4.2,5,110,3,E 
09-09-2021,18.2,30.7,23.5,61,0.2,9.1,4,100,2,E 
10-09-2021,18.4,29.2,23.3,67,0.2,7.5,3,100,1,C 
11-09-2021,19,30,23.5,78,0.2,6.2,3,150,1,SE
12-09-2021,21,28.2,23.9,81,20,3.9,3,90,2,E 
13-09-2021,21.6,30,24.7,74,0.4,0.3,4,131,2,E 
